IO Id,IO Name,Agency Name,Advertiser Name,Currency Type,Currency Exchange Rate,Ad Relevance,Booking Date,TA Rebate,IO Type,Agency Parent Company,Agency Type,ClientName
427807,Al Alali 2nd Burst- Ramadan Camapign.Display,Universal McCann,Al Alali,USD,1,Retail,,0,,Interpublic,Holding Company,
427817,ANZ Wealth Campaign.July.2014.Display,PHD,Australia and New Zealand Banking Group Limited,SGD,1.24,Finance,,0,,Omnicom Group,Holding Company,
427827,TFCPM-A.Havas.MediaContacts.Jul-Aug.14,Media Contacts,"NCG Banco, S.A.",EUR,0.73,Finance,,0,,Havas,Holding Company,
427837,Emirates UAE A380 India Launch 2014.Display,Havas Digital,Emirates Group,USD,1,Travel and Transport,,0,,Havas,Holding Company,
427847,TF.CPM-A.Havas.Arena.Tuenti.Jul-Aug.14,Arena Media,Telefonica,EUR,0.73,Telecoms,,0,,Havas,Holding Company,
427857,AdoTube Netflix Hemlock Grove july 2014,MEC,"Netflix, Inc.",GBP,0.58,Entertainment,,0,,WPP,Holding Company,
427867,TF.Havas.Arena.Ulises.EAE.Jun.14,Arena Media,EAE Business School,EUR,0.73,Education,,0,,Havas,Holding Company,
427877,AdoTube_OMD_Mediaagentur_MCDonalds_McCafe_StandardPreRoll_July_2014,OMD,McDonald's Corporation,EUR,0.73,Entertainment,,0,,Independent,Independent,
427887,Cineworld Unlimited - July 2014,Starcom Mediavest,Cineworld Group PLC,GBP,0.58,Entertainment,,0,,Publicis Groupe,Holding Company,
427897,FFVG.Netthink.Nokia.635.Jul.14,Netthink Isobar,Nokia Corporation,EUR,0.73,Hardware & Electronics,,0,,Aegis,Holding Company,
427907,Volkswagen - Amarok Spirit of Africa,MediaCom,Volkswagen Group,ZAR,10.63,Automotive,,0,,WPP,Holding Company,
427917,APPSNACK.vivaki.Zenith.toyota.AygoGeolocal.July.2014,Zenithoptimedia,Toyota Motor Corporation,EUR,0.73,Automotive,,0,,Publicis Groupe,Holding Company,
427927,Universal Music - Lana Del Ray,MediaShop,Vivendi SA,ZAR,10.63,Telecoms,,0,,Independent,Independent,
427937,Universal Music - Passenger,MediaShop,Vivendi SA,ZAR,10.63,Telecoms,,0,,Independent,Independent,
427947,FFVilluminate.OMD.Sony.PS.July.2014,OMD,Sony Corporation,EUR,0.73,Hardware & Electronics,,0,,Independent,Independent,
427957,Samsung GS5 - July 2014,Starcom Mediavest,Samsung,GBP,0.58,Hardware & Electronics,,0,,Publicis Groupe,Holding Company,
427967,Travel Insurance - July 2014,Xaxis,Post Office Ltd,GBP,0.58,Finance,,0,,WPP,Holding Company,
427977,Halifax EVFY Savings Q3 2014,Xaxis,Lloyds Banking Group PLC,GBP,0.58,Finance,,0,,WPP,Holding Company,
427987,Persil Gel Annihilate.July 2014.FFV,OMD,Henkel AG & Co.,USD,1,Other,,0,,Independent,Independent,
428007,2014 Hilroy - Five Star - Aug-Sept (TF) ENG + FR,Bensimon Byrne Agency,Acco Brands,CAD,1.06,Retail,,0,,Independent,Independent,
428017,Estee Lauder ANR,Direct,"Macys, Inc",USD,1,Retail,,0,,Direct,Direct,
428027,2014 All Weather Windows - Q3 Promo Jul15_Aug31,Mediactive,All Weather Windows Ltd.,CAD,1.06,Other,,0,,Independent,Independent,
428037,CAB 5 Markets Campaign,Hart,Certified Angus Beef LLC,USD,1,Retail,,0,,Independent,Independent,
428047,2014 Kim Crawford FY'15 - Phase 2 - July-Sept,Bensimon Byrne Agency,"Constellation Brands, Inc.",USD,1,Retail,,0,,Independent,Independent,
428057,Appsnack.InkadvantageHP.PHD.July2014,PHD,Hewlett-Packard Company,MXN,12.97,Hardware & Electronics,,0,,Omnicom Group,Holding Company,
428067,Exploratorium.Appsnack.7/7/14-8/31/14,Just Media,Exploratorium,USD,1,Travel and Transport,,0,,Independent,Independent,
428087,AHMR_HOND_107327_FY15_GEN_HONDANEWCAR_GEN_GM_5_GEN,MediaVest,"Honda Motor Company, Ltd.",USD,1,Automotive,,0,,Publicis Groupe,Holding Company,
428107,TF ME Bank Home Loans Jul-Dec14,Huckleberry,ME Bank,AUD,1.05,Finance,,0,,Aegis,Holding Company,
428117,University of Auckland AULAW 2014.Display,Catch Media,University of Auckland,NZD,1.14,Education,,0,,Independent,Independent,
428127,Nutricia July14.Adotube,MediaCom,Groupe Danone,NZD,1.14,Consumer Goods,,0,,WPP,Holding Company,
428137,Total Media.Vagisil.Aug Nov14.FFV,Total Media,Combe Incorporated,NZD,1.14,Professional Services,,0,,Independent,Independent,
428157,STB.Travel Rave.Sept 2014.FFV,MEC,Ministry of Trade and Industry,SGD,1.24,"Government, Social and Political",,0,,WPP,Holding Company,
428167,Appsnack.groupM.Mediacom.VW.agosto.2014,MediaCom,Volkswagen Group,EUR,0.73,Automotive,,0,,WPP,Holding Company,
428177,TF_MagnaGlobal_Plan.net_Swiss_M-SWI-14-025-EU-P2P-Pricing_Concept_July_2014,Plan.Net,Lufthansa,EUR,0.73,Travel and Transport,,0,,Independent,Independent,
